name	type	units	low_cutoff	high_cutoff	sampling_frequency	notch	resection	status_description	hemisphere	lobe	dataset
A1	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	parietal	trained
A2	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	parietal	trained
A3	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	parietal	trained
A4	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	central	trained
A5	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	central	trained
A6	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	central	trained
A7	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	frontal	trained
A8	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	R	frontal	unused
A9	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	frontal	trained
A10	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	n/a	n/a	unused
A11	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
A12	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
A13	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
A14	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
A15	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	R	occipital	trained
A16	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	R	occipital	trained
A17	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	R	parietal	trained
A18	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	R	parietal	trained
A19	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	temporal	trained
A20	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	temporal	trained
A21	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	temporal	trained
A22	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	temporal	trained
A23	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	temporal	trained
A24	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	temporal	trained
A25	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	temporal	trained
A26	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	temporal	trained
A27	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	temporal	trained
A28	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	temporal	trained
A29	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	temporal	trained
A30	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	temporal	trained
A31	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	temporal	trained
A32	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	temporal	trained
A33	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	temporal	trained
A34	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	temporal	trained
A35	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	temporal	trained
A36	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	temporal	trained
A37	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	temporal	trained
A38	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	temporal	trained
A39	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	temporal	trained
A40	ECOG	µV	0.08	300	1000	not applied	resected	artifact	R	temporal	unused
A41	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	R	occipital	trained
A42	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	R	temporal	trained
A43	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	R	temporal	trained
A44	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	temporal	trained
A45	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	temporal	trained
A46	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	temporal	trained
A47	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	temporal	trained
A48	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	temporal	trained
A49	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	R	occipital	trained
A50	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	R	occipital	trained
A51	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	R	parietal	trained
A52	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	R	parietal	trained
A53	ECOG	µV	0.08	300	1000	not applied	resected	spiking	R	parietal	other
A54	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	parietal	trained
A55	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	parietal	trained
A56	ECOG	µV	0.08	300	1000	not applied	resected	artifact	n/a	n/a	unused
A57	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	R	occipital	trained
A58	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	R	occipital	trained
A59	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	R	parietal	trained
A60	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	parietal	trained
