name	type	units	low_cutoff	high_cutoff	sampling_frequency	notch	resection	status_description	hemisphere	lobe	dataset
A1	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	occipital	other
A2	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	parietal	other
A3	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	parietal	other
A4	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	parietal	other
A5	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	parietal	other
A6	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	central	other
A7	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	central	other
A8	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	frontal	other
A9	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	occipital	trained
A10	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	parietal	trained
A11	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	parietal	trained
A12	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	R	parietal	other
A13	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	R	parietal	other
A14	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	R	central	other
A15	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	central	trained
A16	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	central	trained
A17	ECOG	µV	0.08	300	1000	not applied	resected	spiking	R	frontal	other
A18	ECOG	µV	0.08	300	1000	not applied	resected	spiking	R	frontal	other
A19	ECOG	µV	0.08	300	1000	not applied	resected	spiking	R	frontal	other
A20	ECOG	µV	0.08	300	1000	not applied	resected	spiking	R	frontal	other
A21	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	frontal	trained
A22	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	frontal	trained
A23	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	frontal	trained
A24	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	frontal	trained
