name	type	units	low_cutoff	high_cutoff	sampling_frequency	notch	resection	status_description	hemisphere	lobe	dataset
A1	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	L	temporal	unused
A2	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	L	temporal	unused
A3	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	L	occipital	unused
A4	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	occipital	other
A5	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	occipital	other
A6	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	L	occipital	unused
A7	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	L	occipital	unused
A8	ECOG	µV	0.08	300	1000	not applied	resected	artifact	L	occipital	unused
A9	ECOG	µV	0.08	300	1000	not applied	resected	artifact	L	occipital	unused
A10	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	occipital	other
A11	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	parietal	other
A12	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	parietal	other
A13	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
A14	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
A15	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
A16	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	parietal	other
A17	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	parietal	trained
A18	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	parietal	trained
A19	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	parietal	trained
A20	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	n/a	n/a	unused
A21	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	parietal	other
A22	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	parietal	other
A23	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
A24	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	L	occipital	unused
A25	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	occipital	trained
A26	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	occipital	other
A27	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	occipital	other
A28	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	occipital	other
A29	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	occipital	trained
A30	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	occipital	trained
A31	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	occipital	other
A32	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	occipital	other
A33	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	temporal	other
A34	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	occipital	other
A35	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	occipital	other
A36	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	occipital	trained
A37	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	n/a	n/a	unused
A38	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	n/a	n/a	unused
A39	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	n/a	n/a	unused
A40	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	n/a	n/a	unused
A41	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
A42	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
A43	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	parietal	other
A44	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	parietal	other
A45	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	parietal	other
A46	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	parietal	other
