name	type	units	low_cutoff	high_cutoff	sampling_frequency	notch	resection	status_description	hemisphere	lobe	dataset
A1	ECOG	µV	0.08	300	1000	not applied	resected	spiking	R	temporal	other
A2	ECOG	µV	0.08	300	1000	not applied	resected	spiking	R	temporal	other
A3	ECOG	µV	0.08	300	1000	not applied	resected	spiking	R	temporal	other
A4	ECOG	µV	0.08	300	1000	not applied	resected	spiking	R	temporal	other
A5	ECOG	µV	0.08	300	1000	not applied	resected	spiking	R	temporal	other
A6	ECOG	µV	0.08	300	1000	not applied	resected	spiking	R	temporal	other
A7	ECOG	µV	0.08	300	1000	not applied	resected	spiking	R	temporal	other
A8	ECOG	µV	0.08	300	1000	not applied	resected	artifact	R	temporal	unused
A9	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	temporal	trained
A10	ECOG	µV	0.08	300	1000	not applied	resected	artifact	R	temporal	unused
A11	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	temporal	trained
A12	ECOG	µV	0.08	300	1000	not applied	resected	spiking	R	temporal	other
A13	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	R	temporal	trained
A14	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	R	temporal	trained
A15	ECOG	µV	0.08	300	1000	not applied	resected	artifact	R	temporal	unused
A16	ECOG	µV	0.08	300	1000	not applied	resected	normal	R	temporal	trained
A17	ECOG	µV	0.08	300	1000	not applied	resected	spiking	R	temporal	other
A18	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	R	temporal	trained
A19	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	R	temporal	trained
A20	ECOG	µV	0.08	300	1000	not applied	resected	spiking	R	temporal	other
A21	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	occipital	trained
A22	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	occipital	trained
A23	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	temporal	trained
A24	ECOG	µV	0.08	300	1000	not applied	resected	spiking	R	temporal	other
A25	ECOG	µV	0.08	300	1000	not applied	resected	spiking	R	temporal	other
A26	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	R	temporal	trained
A27	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	R	occipital	unused
A28	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	occipital	trained
A29	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	occipital	trained
A30	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	temporal	trained
A31	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	temporal	trained
A32	ECOG	µV	0.08	300	1000	not applied	preserved	normal	R	temporal	trained
A33	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	R	temporal	unused
A34	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	R	temporal	other
A35	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
