name	type	units	low_cutoff	high_cutoff	sampling_frequency	notch	resection	status_description	hemisphere	lobe	dataset
A1	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A2	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A3	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A4	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A5	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
A6	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	L	central	unused
A7	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	central	other
A8	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	L	parietal	unused
A9	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A10	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A11	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A12	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	central	other
A13	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	central	other
A14	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	central	other
A15	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	L	central	unused
A16	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	L	parietal	unused
A17	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A18	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A19	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A20	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
A21	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
A22	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
A23	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
A24	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
A25	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A26	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A27	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A28	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
A29	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
A30	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	L	central	unused
A31	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
A32	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
A33	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A34	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	frontal	other
A35	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A36	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
A37	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
A38	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
A39	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
A40	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	parietal	other
A41	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A42	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A43	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A44	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A45	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A46	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A47	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A48	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A49	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A50	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A51	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A52	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A53	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A54	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A55	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	L	temporal	unused
A56	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A57	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A58	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A59	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A60	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A61	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A62	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A63	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A64	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
B1	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
B2	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
B3	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
B4	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
B5	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
B6	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
B7	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
B8	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
B9	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
B10	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
B11	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	temporal	trained
B12	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
B13	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
B14	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	temporal	trained
B15	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	temporal	trained
B16	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	temporal	trained
B17	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	occipital	other
B18	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	occipital	other
B19	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	temporal	other
B20	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
B21	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
