name	type	units	low_cutoff	high_cutoff	sampling_frequency	notch	resection	status_description	hemisphere	lobe	dataset
A1	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	occipital	other
A2	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	occipital	other
A3	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	occipital	trained
A4	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	occipital	trained
A5	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	parietal	other
A6	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	parietal	trained
A7	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	parietal	trained
A8	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
A9	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
A10	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
A11	ECOG	µV	0.08	300	1000	not applied	resected	artifact	L	occipital	unused
A12	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	occipital	trained
A13	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	occipital	trained
A14	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	temporal	trained
A15	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	temporal	trained
A16	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A17	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A18	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	temporal	trained
A19	ECOG	µV	0.08	300	1000	not applied	resected	artifact	L	temporal	unused
A20	ECOG	µV	0.08	300	1000	not applied	resected	artifact	L	temporal	unused
A21	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A22	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	temporal	trained
A23	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A24	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A25	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A26	ECOG	µV	0.08	300	1000	not applied	resected	artifact	L	temporal	unused
A27	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	temporal	trained
A28	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	temporal	trained
A29	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	temporal	trained
A30	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	temporal	trained
A31	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	temporal	trained
A32	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	temporal	trained
A33	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	occipital	other
A34	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A35	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	temporal	trained
A36	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	temporal	trained
A37	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	temporal	trained
A38	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	temporal	trained
A39	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	occipital	other
A40	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	occipital	other
A41	ECOG	µV	0.08	300	1000	not applied	resected	artifact	L	occipital	unused
A42	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	occipital	trained
A43	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	occipital	trained
A44	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	occipital	trained
A45	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	occipital	trained
A46	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	temporal	trained
A47	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	occipital	other
A48	ECOG	µV	0.08	300	1000	not applied	resected	artifact	L	occipital	unused
A49	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	occipital	trained
