name	type	units	low_cutoff	high_cutoff	sampling_frequency	notch	resection	status_description	hemisphere	lobe	dataset
A1	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	occipital	trained
A2	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	occipital	trained
A3	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	parietal	other
A4	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	parietal	other
A5	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	parietal	other
A6	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	central	other
A7	ECOG	µV	0.08	300	1000	not applied	preserved	seizure onset zone	L	central	trained
A8	ECOG	µV	0.08	300	1000	not applied	preserved	seizure onset zone	L	central	trained
A9	ECOG	µV	0.08	300	1000	not applied	preserved	seizure onset zone	L	frontal	trained
A10	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	frontal	other
A11	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A12	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A13	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A14	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A15	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A16	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A17	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A18	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A19	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A20	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A21	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A22	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A23	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A24	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A25	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	temporal	trained
A26	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	temporal	trained
A27	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	temporal	trained
A28	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	temporal	trained
A29	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	temporal	trained
A30	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A31	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A32	ECOG	µV	0.08	300	1000	not applied	resected	artifact	L	temporal	unused
