name	type	units	low_cutoff	high_cutoff	sampling_frequency	notch	resection	status_description	hemisphere	lobe	dataset
A1	ECOG	µV	0.08	300	1000	not applied	resected	artifact	L	occipital	unused
A2	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	parietal	trained
A3	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	parietal	trained
A4	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	parietal	trained
A5	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
A6	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
A7	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
A8	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
A9	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	L	central	unused
A10	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	L	central	unused
A11	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	temporal	trained
A12	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	temporal	trained
A13	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	temporal	trained
A14	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	temporal	trained
A15	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	temporal	trained
A16	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	temporal	trained
A17	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	temporal	trained
A18	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	temporal	trained
A19	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	temporal	trained
A20	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	temporal	trained
A21	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	temporal	trained
A22	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	temporal	trained
A23	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	central	trained
A24	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	temporal	trained
A25	ECOG	µV	0.08	300	1000	not applied	resected	artifact	L	occipital	unused
A26	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	occipital	trained
A27	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	temporal	trained
A28	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	temporal	trained
A29	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	temporal	trained
A30	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	temporal	trained
A31	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	temporal	trained
A32	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	temporal	trained
A33	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	occipital	trained
A34	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	occipital	trained
A35	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	occipital	trained
A36	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	occipital	trained
A37	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	occipital	trained
A38	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	parietal	trained
