name	type	units	low_cutoff	high_cutoff	sampling_frequency	notch	resection	status_description	hemisphere	lobe	dataset
A1	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	occipital	trained
A2	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
A3	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
A4	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
A5	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
A6	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
A7	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A8	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A9	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A10	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	frontal	trained
A11	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	frontal	other
A12	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	frontal	trained
A13	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	frontal	trained
A14	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	frontal	trained
A15	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	frontal	trained
A16	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	frontal	trained
A17	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	frontal	trained
A18	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	frontal	trained
A19	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	frontal	other
A20	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	frontal	trained
A21	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	frontal	trained
A22	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	frontal	trained
A23	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	frontal	trained
A24	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	frontal	trained
A25	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	frontal	trained
A26	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	frontal	trained
A27	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A28	ECOG	µV	0.08	300	1000	not applied	resected	artifact	L	temporal	unused
A29	ECOG	µV	0.08	300	1000	not applied	resected	artifact	L	temporal	unused
A30	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	temporal	trained
A31	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	temporal	trained
A32	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	temporal	trained
A33	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	temporal	trained
A34	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	temporal	trained
A35	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	temporal	trained
A36	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	temporal	trained
A37	ECOG	µV	0.08	300	1000	not applied	resected	artifact	L	temporal	unused
A38	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	temporal	trained
A39	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	temporal	trained
A40	ECOG	µV	0.08	300	1000	not applied	resected	artifact	L	temporal	unused
A41	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	occipital	trained
A42	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	occipital	trained
A43	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A44	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A45	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A46	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A47	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A48	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A49	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	occipital	trained
A50	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	occipital	trained
A51	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	occipital	trained
A52	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	occipital	trained
A53	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	occipital	trained
A54	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A55	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	L	temporal	unused
A56	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	L	temporal	unused
